wage,edu,exp,city,reg,race,deg,com,emp
354.94,7,45,yes,northeast,white,no,24.3,200
370.37,9,9,yes,northeast,white,no,26.2,130
754.94,11,46,yes,northeast,white,no,26.4,153
593.54,12,36,yes,northeast,other,no,9.9,86
377.23,16,22,yes,northeast,white,yes,7.1,181
284.9,8,51,yes,northeast,white,no,11.4,32
561.13,12,34,yes,northeast,other,no,18.9,167
264.06,12,0,yes,northeast,white,no,1,166
1643.83,14,18,yes,northeast,white,no,10.2,195
474.83,12,17,yes,northeast,white,no,9.9,43
299.15,8,42,yes,northeast,white,no,8.3,127
244.88,10,10,yes,northeast,white,no,6.5,58
474.83,14,19,no,northeast,white,no,12.2,100
213.68,12,40,no,northeast,other,no,3.2,95
864.2,16,42,no,northeast,white,yes,13.7,125
841.93,14,27,no,northeast,white,no,7.2,99
301.96,16,-1,no,northeast,other,yes,9.1,163
669.28,12,17,no,northeast,other,no,8.8,64
403.61,12,42,no,northeast,white,no,7.9,75
403.61,12,25,no,northeast,white,no,8.2,146
476.54,12,15,no,northeast,other,no,32.8,103
536.56,16,26,no,northeast,white,yes,23.2,111
1018.52,11,4,yes,northeast,white,no,27.9,108
339.21,13,17,yes,northeast,white,no,7.7,181
546.06,12,16,yes,northeast,white,no,17.9,18
251.95,14,4,yes,northeast,white,no,7.6,32
522.32,16,20,yes,northeast,white,no,5.1,112
204.18,12,6,yes,northeast,white,no,20.4,12
1419.75,10,35,yes,northeast,white,no,0.9,113
208.5,10,4,yes,northeast,white,no,21.7,52
1283.53,16,10,no,northeast,other,yes,9.9,111
586.42,13,22,no,northeast,white,no,10,163
750.24,12,20,no,northeast,white,no,3.6,77
370.37,12,36,yes,northeast,white,no,3.5,98
510.45,12,10,yes,northeast,white,no,1.5,63
343.21,12,10,no,northeast,white,no,9.3,108
795.35,12,12,no,northeast,white,no,19.7,47
338.48,12,17,no,northeast,white,no,4.3,131
997.15,18,14,yes,northeast,white,no,2.3,53
593.54,12,38,yes,northeast,white,no,9.9,84
420.23,16,6,yes,northeast,white,yes,2.3,108
427.35,6,47,no,northeast,white,no,17,88
522.32,12,26,no,northeast,white,no,7.1,183
296.3,12,3,no,northeast,white,no,11,11
783.48,18,12,no,northeast,white,no,8,36
427.35,6,41,no,northeast,white,no,15.2,240
641.03,12,32,no,northeast,white,no,20.6,126
759.73,13,28,yes,northeast,other,no,0.5,152
594.52,12,18,yes,northeast,white,no,20.3,102
771.6,15,18,yes,northeast,white,no,3.4,51
1851.85,17,14,yes,northeast,white,yes,29.5,73
1009.02,14,9,yes,northeast,white,no,9.4,289
1210.83,18,13,yes,northeast,white,yes,18.4,116
752.54,14,29,yes,northeast,white,no,9.3,223
246.91,16,20,yes,northeast,white,yes,11.3,77
835.71,18,26,yes,northeast,other,yes,12.2,84
1182.34,14,23,yes,northeast,white,no,11.6,162
1028.02,18,12,yes,northeast,white,yes,22.4,90
688.51,18,5,yes,northeast,other,no,4.2,89
688.51,16,14,yes,northeast,white,no,0.4,102
358.02,12,1,yes,northeast,white,no,4.2,114
368,13,16,yes,northeast,other,no,14.9,138
197.53,11,1,yes,northeast,other,no,17.3,108
379.87,12,8,no,northeast,white,no,25.1,115
432.1,17,7,no,northeast,white,no,6.4,35
403.61,15,4,no,northeast,white,no,4.4,44
